497,0.75751503006,427.0,126.0,445.0,148.0
494,1.0,424.0,125.0,442.0,146.0
505,1.0,386.0,136.0,408.0,162.0
496,0.874,423.0,127.0,441.0,149.0
491,1.0,437.0,126.0,454.0,144.0
500,1.0,402.0,127.0,421.0,150.0
472,1.0,465.0,106.0,479.0,123.0
501,1.0,397.0,125.0,417.0,149.0
499,1.0,415.0,130.0,433.0,152.0
469,0.760180995475,480.0,106.0,491.0,119.0
543,0.765920826162,40.0,322.0,114.0,414.0
490,0.8,436.0,123.0,451.0,141.0
473,0.9375,465.0,111.0,478.0,125.0
477,1.0,453.0,113.0,467.0,130.0
495,1.0,423.0,123.0,439.0,143.0
486,1.0,449.0,118.0,464.0,136.0
482,1.0,451.0,119.0,465.0,137.0
463,1.0,490.0,106.0,502.0,121.0
474,1.0,467.0,110.0,480.0,127.0
466,1.0,482.0,105.0,495.0,121.0
481,1.0,455.0,114.0,469.0,131.0
475,1.0,464.0,108.0,478.0,125.0
478,1.0,453.0,113.0,466.0,129.0
480,1.0,458.0,114.0,472.0,131.0
507,1.0,375.0,133.0,397.0,159.0
488,1.0,441.0,126.0,457.0,143.0
464,1.0,489.0,106.0,502.0,121.0
503,1.0,396.0,129.0,416.0,152.0
489,1.0,436.0,121.0,452.0,139.0
498,1.0,423.0,123.0,441.0,145.0
492,1.0,435.0,121.0,451.0,140.0
476,1.0,460.0,112.0,474.0,129.0
485,1.0,448.0,121.0,463.0,138.0
467,1.0,482.0,106.0,494.0,123.0
483,1.0,445.0,115.0,460.0,133.0
493,1.0,432.0,123.0,449.0,144.0
444,1.0,501.0,101.0,511.0,113.0
449,0.785714285714,499.0,100.0,510.0,113.0
479,1.0,454.0,117.0,468.0,133.0
471,1.0,468.0,110.0,481.0,126.0
506,1.0,376.0,131.0,398.0,158.0
468,1.0,483.0,108.0,495.0,125.0
470,1.0,476.0,109.0,489.0,125.0
484,1.0,447.0,117.0,460.0,134.0
465,1.0,485.0,107.0,498.0,123.0
454,0.923076923077,492.0,105.0,503.0,118.0
460,1.0,487.0,105.0,498.0,120.0
502,1.0,396.0,132.0,415.0,156.0
448,1.0,501.0,103.0,511.0,117.0
504,1.0,393.0,130.0,411.0,152.0
541,0.626984126984,44.0,277.0,106.0,355.0
442,1.0,503.0,102.0,513.0,114.0
462,1.0,489.0,108.0,502.0,123.0
456,1.0,494.0,107.0,505.0,122.0
518,0.702702702703,305.0,147.0,330.0,181.0
450,0.794444444444,501.0,104.0,511.0,116.0
487,1.0,446.0,120.0,462.0,138.0
445,0.733333333333,505.0,103.0,515.0,116.0
461,1.0,486.0,105.0,498.0,120.0
542,0.730588235294,39.0,297.0,107.0,386.0
455,0.507692307692,491.0,104.0,499.0,114.0
453,0.744791666667,498.0,105.0,508.0,117.0
459,0.739910313901,492.0,107.0,504.0,122.0
544,0.744386048734,17.0,322.0,98.0,416.0
437,1.0,504.0,100.0,513.0,112.0
447,0.77380952381,505.0,102.0,516.0,115.0
443,1.0,500.0,99.0,510.0,112.0
446,0.866666666667,506.0,99.0,516.0,112.0
452,0.526315789474,503.0,104.0,514.0,117.0
435,1.0,510.0,100.0,519.0,111.0
511,0.831541218638,361.0,146.0,384.0,174.0
451,1.0,503.0,104.0,514.0,118.0
457,0.80829015544,496.0,105.0,507.0,119.0
458,0.861538461538,496.0,105.0,507.0,118.0
508,0.838709677419,378.0,142.0,400.0,167.0
438,0.714285714286,506.0,102.0,515.0,113.0
436,1.0,507.0,102.0,516.0,113.0
542,0,540.0,75.0,553.0,91.0
427,0.755244755245,511.0,99.0,519.0,110.0
441,1.0,507.0,102.0,516.0,114.0
517,0.753246753247,320.0,150.0,348.0,185.0
450,0,540.0,75.0,551.0,88.0
440,1.0,508.0,100.0,517.0,111.0
426,1.0,511.0,98.0,520.0,109.0
439,1.0,508.0,103.0,517.0,115.0
516,0.601307189542,337.0,148.0,359.0,179.0
425,0.692307692308,511.0,98.0,519.0,108.0
510,0.72278338945,371.0,137.0,393.0,164.0
421,1.0,515.0,98.0,523.0,108.0
457,0,521.0,75.0,532.0,88.0
431,0.555555555556,511.0,99.0,519.0,110.0
430,0,595.0,70.0,606.0,83.0
424,0.692307692308,514.0,98.0,522.0,108.0
420,0.825688073394,512.0,96.0,520.0,106.0
432,0.692307692308,510.0,100.0,518.0,110.0
423,0.44262295082,518.0,98.0,527.0,109.0
520,0.720930232558,292.0,156.0,322.0,193.0
524,0.897435897436,233.0,162.0,267.0,206.0
540,0.64061302682,68.0,284.0,122.0,359.0
458,0,520.0,74.0,528.0,84.0
512,0.759183673469,355.0,137.0,378.0,167.0
419,0.818181818182,512.0,98.0,520.0,107.0
434,0.769230769231,513.0,98.0,522.0,109.0
519,0.789634146341,300.0,154.0,327.0,190.0
433,1.0,511.0,101.0,519.0,112.0
